Sl,image_names,,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,label
1,37958_left.jpeg,,0.992161738,0.991079349,0.992385934,0.986841627,0.611847839,0.553007996,0.636165914,0.549922876,1.551541837,1
2,37962_left.jpeg,,0.985013848,0.978969537,0.992584058,0.987427512,0.793083578,0.727095427,0.801264403,0.738245402,0.921036819,1
3,38064_left.jpeg,,0.996914389,0.994773278,0.996788965,0.994490246,0.739831224,0.692451195,0.742397576,0.694138659,1.384981276,1
4,38064_right.jpeg,,0.996227885,0.993847291,0.996660138,0.994188235,0.755066644,0.706689178,0.754007673,0.708507265,1.26542946,1
5,38186_left.jpeg,,0.998866154,0.998184164,0.998899867,0.998101232,0.709287658,0.635742005,0.721017627,0.629961063,0.899768655,1
6,38186_right.jpeg,,0.999103792,0.998514423,0.999162018,0.998555787,0.713481501,0.640730132,0.735599574,0.6498762,0.848914814,1
7,38325_left.jpeg,,0.997504647,0.996386932,0.997657547,0.995493509,0.778633726,0.733832865,0.783664562,0.726112042,1.077123938,1
8,38325_right.jpeg,,0.995753293,0.991659041,0.995257551,0.993559025,0.833069556,0.761142349,0.813961951,0.782728507,0.921747755,1
9,38345_left.jpeg,,0.994007232,0.990708628,0.994219321,0.990707474,0.778514707,0.72582019,0.768915972,0.724578605,1.282875025,1
10,38407_left.jpeg,,0.993720837,0.991152401,0.994189649,0.990576576,0.721407666,0.654541977,0.708641713,0.654886435,1.447464423,1
11,38407_right.jpeg,,0.992337935,0.989122304,0.993207302,0.988264319,0.70964389,0.640201977,0.698426327,0.641457742,1.500476655,1
12,38513_left.jpeg,,0.998449679,0.997580048,0.998633586,0.997495661,0.656647619,0.593444727,0.680013879,0.584542929,0.940400027,1
13,38513_right.jpeg,,0.994791426,0.991262955,0.994485862,0.992979583,0.662520211,0.591607737,0.694798362,0.611927856,1.08858594,1
14,38518_left.jpeg,,0.996805512,0.993641858,0.995663178,0.993736809,0.825420104,0.7796889,0.819843532,0.778860904,1.094416403,1
15,38518_right.jpeg,,0.993571614,0.989478252,0.993843853,0.989254273,0.853957361,0.81145329,0.851874056,0.808867435,0.729029033,1
16,38595_right.jpeg,,0.98666857,0.979425851,0.987648984,0.978830484,0.60542537,0.542239115,0.599954152,0.537350489,2.166091421,1
17,38653_left.jpeg,,0.994701773,0.992036068,0.994530586,0.990570621,0.784330935,0.740945908,0.783455873,0.734403628,1.344274624,1
18,38662_left.jpeg,,0.987259757,0.98308448,0.990290932,0.98308084,0.632520697,0.574128139,0.640811653,0.572800417,1.693711132,1
19,38811_left.jpeg,,0.993381646,0.989220304,0.994825264,0.994024867,0.658956394,0.596258642,0.681500318,0.598897931,1.409210521,1
20,38811_right.jpeg,,0.989294535,0.98841431,0.993110156,0.987227269,0.637752133,0.58258819,0.670792235,0.580089435,1.343244695,1
21,38856_left.jpeg,,0.996215018,0.994075054,0.996459803,0.993730056,0.741802623,0.669675046,0.724382596,0.667395236,1.222020388,1
22,38856_right.jpeg,,0.996848627,0.994115507,0.996870859,0.995060784,0.740334778,0.673528616,0.733194003,0.670012666,1.169858461,1
23,39081_right.jpeg,,0.998033821,0.996910615,0.998542217,0.997006413,0.649590094,0.580848777,0.656619579,0.574091304,1.271262849,1
24,39134_right.jpeg,,0.970710903,0.965849726,0.980052277,0.964044725,0.647490798,0.56181488,0.655790576,0.558161587,1.402282411,1
25,39164_left.jpeg,,0.994606344,0.990712478,0.993675295,0.98975613,0.795601833,0.752134187,0.794148823,0.753448727,1.300625887,1
26,39164_right.jpeg,,0.995106559,0.991540837,0.994537308,0.991620011,0.816386781,0.772972158,0.814542215,0.769932401,1.218374719,1
27,39188_left.jpeg,,0.99272386,0.988077959,0.993325413,0.988808582,0.720165108,0.655393208,0.721535624,0.658712299,1.399372574,1
28,39188_right.jpeg,,0.990975324,0.985650642,0.992116837,0.987372679,0.711963503,0.641179221,0.711876562,0.645373119,1.369146979,1
29,39353_right.jpeg,,0.997045565,0.995087121,0.996925073,0.995463675,0.784150685,0.736229456,0.786034798,0.735730845,1.095980975,1
30,39505_left.jpeg,,0.992758769,0.992237811,0.99403174,0.988829773,0.708465757,0.65473102,0.727145317,0.63802732,1.138218664,1
31,39505_right.jpeg,,0.985706962,0.978251948,0.984623526,0.978717989,0.570427867,0.515530241,0.600162299,0.514046107,1.502335684,1
32,39741_left.jpeg,,0.991810198,0.986049553,0.992206147,0.98940687,0.784293958,0.721829444,0.772201611,0.744198029,1.295871069,1
33,39741_right.jpeg,,0.99879134,0.997891573,0.998842867,0.997988484,0.807833417,0.767926206,0.817855155,0.762784014,0.978717612,1
34,39747_left.jpeg,,0.99494406,0.991062685,0.993970594,0.990816995,0.647193398,0.582405665,0.636259039,0.581373358,1.744466858,1
35,39747_right.jpeg,,0.994662501,0.99062907,0.994479098,0.991683709,0.674188632,0.609569851,0.665593449,0.610510621,1.61522529,1
36,39772_right.jpeg,,0.996223456,0.994670151,0.998287312,0.995717584,0.752771218,0.703401109,0.794961784,0.711356947,1.038310116,1
37,40078_left.jpeg,,0.993309022,0.990012864,0.994117416,0.989086069,0.811616658,0.772317196,0.813897307,0.769816787,1.373474537,1
38,40178_left.jpeg,,0.997901941,0.996354095,0.997730261,0.996440176,0.918230112,0.90077593,0.930718524,0.892483883,0.499251317,1
39,40178_right.jpeg,,0.997580335,0.996011415,0.998097793,0.99637382,0.84792579,0.812676379,0.866207808,0.825173106,0.968372148,1
40,40183_left.jpeg,,0.998718798,0.997686062,0.998502212,0.997682235,0.869739328,0.834768459,0.874619476,0.830036567,0.799134688,1
41,40183_right.jpeg,,0.994698532,0.99029511,0.993219245,0.99093654,0.819580215,0.777835688,0.817735871,0.776941287,1.176306546,1
42,40319_right.jpeg,,0.996457334,0.994197287,0.997480083,0.995520534,0.825249345,0.78781788,0.840262414,0.7930624,1.037451367,1
